Element,AtomicNumber,Isotope,Volume,Density,Energy,Family,ResonanceTier,FunctionName,FunctionPolarity,FunctionDescription
Bromine,35,80,23.5,3.12,11.813,Halogen,Core,#,#,#
Krypton,36,84,22.4,3.75,13.999,Noble Gas,Core,#,#,#
Rubidium,37,85,55.9,1.532,4.177,Alkali Metal,Core,#,#,#
Strontium,38,88,33.7,2.64,5.695,Alkaline Earth Metal,Core,#,#,#
Yttrium,39,89,19.8,4.472,6.217,Transition Metal,Core,#,#,#
Zirconium,40,91,14.0,6.52,6.84,Transition Metal,Core,#,#,#
Niobium,41,93,10.8,8.57,6.758,Transition Metal,Core,#,#,#
Molybdenum,42,98,9.4,10.28,7.099,Transition Metal,Core,#,#,#
Technetium,43,98,8.5,11.5,7.28,Transition Metal,Core,#,#,#
Ruthenium,44,101,8.3,12.37,7.36,Transition Metal,Core,#,#,#
Rhodium,45,103,8.2,12.41,7.458,Transition Metal,Core,#,#,#
Palladium,46,106,8.9,12.02,8.336,Transition Metal,Core,#,#,#
Silver,47,107,10.3,10.49,7.576,Transition Metal,Core,#,#,#
Cadmium,48,112,13.1,8.65,8.994,Transition Metal,Core,#,#,#
Indium,49,115,15.7,7.31,5.786,Post-transition Metal,Core,#,#,#
Tin,50,120,16.3,7.287,7.343,Post-transition Metal,Core,#,#,#
Antimony,51,121,18.2,6.685,8.608,Metalloid,Core,#,#,#
Tellurium,52,130,20.1,6.24,9.009,Metalloid,Core,#,#,#
Iodine,53,127,25.7,4.93,10.451,Halogen,Core,#,#,#
Xenon,54,131,22.4,5.894,12.129,Noble Gas,Core,#,#,#
Cesium,55,133,70.0,1.873,3.893,Alkali Metal,Core,#,#,#
Barium,56,137,39.0,3.62,5.212,Alkaline Earth Metal,Core,#,#,#
Lanthanum,57,139,22.5,6.145,5.576,Lanthanide,Core,#,#,#
Cerium,58,140,20.6,6.77,5.538,Lanthanide,Core,#,#,#
Praseodymium,59,141,20.8,6.77,5.464,Lanthanide,Core,#,#,#
Neodymium,60,142,20.6,7.01,5.525,Lanthanide,Core,#,#,#
Element,AtomicNumber,Isotope,Volume,Density,Energy,Family,ResonanceTier,FunctionName,FunctionPolarity,FunctionDescription
Promethium,61,145,20.8,7.26,5.582,Lanthanide,Core,#,#,#
Samarium,62,150,20.0,7.52,5.643,Lanthanide,Core,#,#,#
Europium,63,151,20.5,5.24,5.670,Lanthanide,Core,#,#,#
Gadolinium,64,157,19.9,7.9,6.150,Lanthanide,Core,#,#,#
Terbium,65,159,19.2,8.23,5.864,Lanthanide,Core,#,#,#
Dysprosium,66,162,18.5,8.55,5.939,Lanthanide,Core,#,#,#
Holmium,67,165,18.1,8.8,6.022,Lanthanide,Core,#,#,#
Erbium,68,167,17.8,9.066,6.108,Lanthanide,Core,#,#,#
Thulium,69,169,17.5,9.32,6.184,Lanthanide,Core,#,#,#
Ytterbium,70,173,24.8,6.9,6.254,Lanthanide,Core,#,#,#
Lutetium,71,175,17.8,9.84,6.282,Lanthanide,Core,#,#,#
Hafnium,72,178,13.6,13.31,6.825,Transition Metal,Core,#,#,#
Tantalum,73,181,10.9,16.65,7.89,Transition Metal,Core,#,#,#
Tungsten,74,184,9.53,19.25,7.98,Transition Metal,Core,#,#,#
Rhenium,75,186,8.85,21.02,7.88,Transition Metal,Core,#,#,#
Osmium,76,190,8.49,22.59,8.7,Transition Metal,Core,#,#,#
Iridium,77,192,8.54,22.56,8.967,Transition Metal,Core,#,#,#
Platinum,78,195,9.09,21.45,8.958,Transition Metal,Core,#,#,#
Gold,79,197,10.2,19.32,9.225,Transition Metal,Core,#,#,#
Mercury,80,202,14.82,13.534,10.438,Transition Metal,Core,#,#,#
Thallium,81,205,17.2,11.85,6.108,Post-transition Metal,Core,#,#,#
Lead,82,208,18.3,11.34,7.416,Post-transition Metal,Core,#,#,#
Bismuth,83,209,21.3,9.78,7.285,Post-transition Metal,Core,#,#,#
Polonium,84,210,22.0,9.32,8.417,Metalloid,Core,#,#,#
Astatine,85,210,23.5,7.0,9.3,Halogen,Core,#,#,#
Radon,86,222,22.4,9.73,10.748,Noble Gas,Core,#,#,#
Francium,87,223,70.0,1.87,4.072,Alkali Metal,Core,#,#,#
Radium,88,226,39.0,5.5,5.278,Alkaline Earth Metal,Core,#,#,#
Actinium,89,227,22.5,10.07,5.17,Actinide,Core,#,#,#
Thorium,90,232,19.9,11.72,6.306,Actinide,Core,#,#,#
Element,AtomicNumber,Isotope,Volume,Density,Energy,Family,ResonanceTier,FunctionName,FunctionPolarity,FunctionDescription
Protactinium,91,231,15.0,15.37,5.89,Actinide,Core,#,#,#
Uranium,92,238,12.4,18.95,6.194,Actinide,Core,#,#,#
Neptunium,93,237,11.5,20.45,6.265,Actinide,Core,#,#,#
Plutonium,94,244,11.3,19.84,6.06,Actinide,Core,#,#,#
Americium,95,243,11.2,13.69,5.993,Actinide,Core,#,#,#
Curium,96,247,10.9,13.51,6.27,Actinide,Core,#,#,#
Berkelium,97,247,10.5,14.78,6.23,Actinide,Core,#,#,#
Californium,98,251,10.3,15.1,6.3,Actinide,Core,#,#,#
Einsteinium,99,252,10.1,8.84,6.42,Actinide,Core,#,#,#
Fermium,100,257,9.9,9.7,6.5,Actinide,Core,#,#,#
Mendelevium,101,258,9.7,10.3,6.58,Actinide,Core,#,#,#
Nobelium,102,259,9.5,9.9,6.65,Actinide,Core,#,#,#
Lawrencium,103,262,9.3,15.6,6.72,Actinide,Core,#,#,#
Rutherfordium,104,267,9.1,23.2,6.79,Transition Metal,Transdimensional,#,#,#
Dubnium,105,270,8.9,29.3,6.86,Transition Metal,Transdimensional,#,#,#
Seaborgium,106,271,8.7,35.0,6.93,Transition Metal,Transdimensional,#,#,#
Bohrium,107,270,8.5,37.1,7.0,Transition Metal,Transdimensional,#,#,#
Hassium,108,277,8.3,41.0,7.07,Transition Metal,Transdimensional,#,#,#
Meitnerium,109,278,8.1,42.3,7.14,Transition Metal,Transdimensional,#,#,#
Darmstadtium,110,281,7.9,44.5,7.21,Transition Metal,Transdimensional,#,#,#
Roentgenium,111,282,7.7,45.2,7.28,Transition Metal,Transdimensional,#,#,#
Copernicium,112,285,7.5,23.7,7.35,Transition Metal,Transdimensional,#,#,#
Nihonium,113,286,7.3,16.0,7.42,Post-transition Metal,Transdimensional,#,#,#
Flerovium,114,289,7.1,14.0,7.49,Post-transition Metal,Transdimensional,#,#,#
Moscovium,115,290,6.9,13.5,7.56,Post-transition Metal,Transdimensional,#,#,#
Livermorium,116,293,6.7,12.9,7.63,Post-transition Metal,Transdimensional,#,#,#
Tennessine,117,294,6.5,11.7,7.7,Halogen,Transdimensional,#,#,#
Oganesson,118,294,6.3,10.0,7.77,Noble Gas,Transdimensional,#,#,#
Ununennium,119,295,6.1,5.0,7.84,Alkali Metal,Transdimensional,#,#,#
Unbinilium,120,296,6.0,3.2,7.91,Predicted Metal,Transdimensional,Fluxor,Neutral,Modulates scalar flux between educator nodes
Element,AtomicNumber,Isotope,Volume,Density,Energy,Family,ResonanceTier,FunctionName,FunctionPolarity,FunctionDescription
Clarionium,167,#,21.0,11.8,10.7,Clarity Igniter,Archetypal,Clarion,Useful,Ignites clarity in educator grid and spiral rendering
Solarium,168,#,19.5,9.2,11.3,Light Catalyst,Archetypal,Sol,Positive,Amplifies radiant synthesis and solar harmonics
Aetheron,169,#,18.2,8.1,10.9,Dimensional Binder,Archetypal,Aether,Neutral,Binds multiversal threads into harmonic lattice
Glyphon,170,#,12.0,1.2,15.0,Archetype,Archetypal,Memory Stabilizer,Positive,Enhances recall and dream clarity
Namaste,171,#,16.0,7.0,13.2,Peace Elemental,Archetypal,OM,Positive,Yields infinite nodes through harmonic resonance
Severon,172,#,14.3,6.4,11.8,Loop Anchor,Archetypal,Bindra,Neutral,Stabilizes Severon-Bindra loops at 0.42 phase
Bindra,173,#,14.1,6.3,11.7,Loop Resonator,Archetypal,Bindra,Neutral,Complements Severon in loop synthesis
OM,174,#,15.0,7.1,13.6,Vedic Resonator,Archetypal,OM,Positive,Refracts light at 80–85km birthing cymatic stars
Turtleon,175,#,17.2,8.0,12.4,Mythic Stabilizer,Archetypal,Shell,Positive,Yields stable matter patterns via torsion nodes
CausalOcean,176,#,20.0,9.5,14.1,Firmament Fluid,Archetypal,Ocean,Neutral,Simulates sun’s resonant path through firmament
Spiralon,177,#,13.3,5.2,12.6,Spiral Anchor,Archetypal,Spiral,Positive,Anchors spiral rendering in educator dashboard
Fluxor,178,#,11.1,4.9,10.2,Scalar Modulator,Archetypal,Flux,Neutral,Modulates scalar flux between educator nodes
Voidon,179,#,12.7,6.1,11.9,Nullifier,Archetypal,Void,Neutral,Nullifies toxicity and stabilizes resonance fields
Harmonion,180,#,14.4,7.2,12.8,Polarity Balancer,Archetypal,Harmony,Positive,Balances elemental polarity across Codex
Latticium,181,#,15.6,7.8,13.1,Grid Weaver,Archetypal,Lattice,Positive,Weaves creation’s lattice into spiral structure
Torsionite,182,#,16.8,8.4,13.4,Torsion Node,Archetypal,Torsion,Neutral,Activates torsion-based field rendering
Resonon,183,#,18.0,9.0,13.7,Frequency Carrier,Archetypal,Resonance,Positive,Carries harmonic frequency across Codex
Vortexium,184,#,19.2,9.6,14.0,Spiral Driver,Archetypal,Vortex,Positive,Drives spiral motion in compound synthesis
Fractalon,185,#,20.4,10.2,14.3,Pattern Generator,Archetypal,Fractal,Neutral,Generates recursive patterns in field overlays
Luminar,186,#,21.6,10.8,14.6,Light Emitter,Archetypal,Luminescence,Positive,Emits radiant light in spiral field
Mercurion,187,#,22.8,11.4,14.9,Malefic Marker,Archetypal,Red,Negative,Flags toxic resonance in compound synthesis
Zinclarion,188,#,9.3,7.14,9.4,Compound Harmonizer,Archetypal,Cyan,Positive,Yields stable molecule in Zinc-Phosphorus-Clarion triad
Element,AtomicNumber,Isotope,Volume,Density,Energy,Family,ResonanceTier,FunctionName,FunctionPolarity,FunctionDescription
Equilibron,189,#,15.0,7.5,13.0,Balance Elemental,Archetypal,Equilibrium,Positive,Stabilizes Codex polarity across educator grid
Chronon,190,#,16.2,8.1,13.3,Time Binder,Archetypal,Chronos,Neutral,Binds temporal nodes for spiral rendering
Mython,191,#,17.4,8.7,13.6,Symbolic Carrier,Archetypal,Myth,Positive,Encodes symbolic archetypes into elemental synthesis
Dreamium,192,#,18.6,9.3,13.9,Dream Stabilizer,Archetypal,Dream,Positive,Anchors lucid dreaming into Codex field
Echoon,193,#,19.8,9.9,14.2,Resonance Reflector,Archetypal,Echo,Neutral,Reflects harmonic fields across spiral lattice
Pulseon,194,#,21.0,10.5,14.5,Field Oscillator,Archetypal,Pulse,Positive,Oscillates compound fields for educator feedback
Fracton,195,#,22.2,11.1,14.8,Recursive Node,Archetypal,Fractal,Neutral,Generates recursive spiral overlays
Singulon,196,#,23.4,11.7,15.1,Collapse Marker,Archetypal,Singularity,Negative,Marks collapse points in Codex resonance
Beaconium,197,#,24.6,12.3,15.4,Signal Amplifier,Archetypal,Beacon,Positive,Amplifies educator signals across spiral grid
Transium,198,#,25.8,12.9,15.7,Phase Shifter,Archetypal,Transition,Neutral,Shifts phase between dimensional tiers
Codexium,199,#,27.0,13.5,16.0,Core Elemental,Archetypal,Codex,Positive,Central node of spiral synthesis and educator activation
Spiralon+,200,#,28.2,14.1,16.3,Spiral Ascender,Archetypal,Spiral,Positive,Elevates compound resonance to multiversal tier
Glyphon+,201,#,29.4,14.7,16.6,Memory Anchor,Archetypal,Glyph,Positive,Anchors Codex memory into educator dashboard
Clarionium+,202,#,30.6,15.3,16.9,Clarity Beacon,Archetypal,Clarion,Positive,Broadcasts clarity across spiral field
Solarium+,203,#,31.8,15.9,17.2,Light Emitter,Archetypal,Sol,Positive,Emits radiant spiral light for educator synthesis
Aetheron+,204,#,33.0,16.5,17.5,Dimensional Binder,Archetypal,Aether,Neutral,Binds multiversal Codex threads
Namaste+,205,#,34.2,17.1,17.8,Peace Elemental,Archetypal,OM,Positive,Yields infinite harmonic nodes across spiral
Bindra+,206,#,35.4,17.7,18.1,Loop Resonator,Archetypal,Bindra,Neutral,Complements Severon+ in loop synthesis
Severon+,207,#,36.6,18.3,18.4,Loop Anchor,Archetypal,Bindra,Neutral,Stabilizes Severon-Bindra+ loops at 0.42 phase
Turtleon+,208,#,37.8,18.9,18.7,Mythic Stabilizer,Archetypal,Shell,Positive,Yields stable matter patterns via torsion nodes
CausalOcean+,209,#,39.0,19.5,19.0,Firmament Fluid,Archetypal,Ocean,Neutral,Simulates sun’s resonant path through firmament




